operacion	year	producto	pais	pais3	ton_punto
I	2007	Diesel	Perú	PER	33.29
I	2007	Diesel	Singapur	SGP	110154.691
I	2007	Fuel Oil 6	Estados Unidos	USA	136020.224
I	2007	Fuel Oil 6	Perú	PER	54686.68148
I	2007	Gas Natural	Argentina	ARG	1856441.2039993
I	2007	Gas Natural	China	CHN	0.03785
I	2007	Gas Natural	Inglaterra	GBR	0.0169231
I	2007	Gasolina	Dinamarca	DNK	0.08439
I	2007	Gasolina	Estados Unidos	USA	164.8853124
I	2007	GLP	Angola	AGO	39303.805
I	2007	GLP	Arabia Saudita	SAU	45146.925
I	2007	GLP	Argentina	ARG	687079.068
I	2007	GLP	Catar	QAT	33288.321
I	2007	GLP	Corea del Sur	KOR	50.8000008
I	2007	GLP	Ecuador	ECU	16445.1411
I	2007	GLP	Estados Unidos	USA	27126.9505691
I	2007	GLP	Grecia	GRC	9.8076923
I	2007	GLP	Inglaterra	GBR	33836.151
I	2007	GLP	Italia	ITA	26.58816
I	2007	GLP	Noruega	NOR	8519.829
I	2007	GLP	Venezuela	VEN	84028.73
I	2007	IFO	Alemania	DEU	0.03526
I	2007	IFO	Brasil	BRA	0.0026231
I	2007	IFO	Estados Unidos	USA	0.0062
I	2007	IFO	Perú	PER	0.0030769
I	2007	Kerosene	Alemania	DEU	0.202873
I	2007	Kerosene	Argentina	ARG	40157.416
I	2007	Kerosene	Brasil	BRA	0.54
I	2007	Kerosene	Colombia	COL	45294.444
I	2007	Kerosene	Corea del Sur	KOR	129606
I	2007	Kerosene	Estados Unidos	USA	46153.81667
I	2007	Kerosene	Japón	JPN	23903.225
I	2007	Kerosene	Sin descripción		0.064811
I	2008	Carbón	Argentina	ARG	55486.485
I	2008	Carbón	Australia	AUS	605830.24
I	2008	Carbón	Canadá	CAN	369549.05
I	2008	Carbón	Colombia	COL	4185864.081589
I	2008	Carbón	Estados Unidos	USA	1268972.6255
I	2008	Carbón	Indonesia	IDN	497880.8
I	2008	Carbón	Nueva Zelandia	NZL	95344
I	2008	Crudo	Angola	AGO	2067548.318584
I	2008	Crudo	Argentina	ARG	371728.626012
I	2008	Crudo	Brasil	BRA	2577318.1727441
I	2008	Crudo	Colombia	COL	1655302.811687
I	2008	Crudo	Ecuador	ECU	2263492.223818
I	2008	Crudo	Perú	PER	284217.495557
I	2008	Crudo	Tailandia	THA	30974.4
I	2008	Crudo	Turquía	TUR	844181.363009
I	2008	Diesel	Alemania	DEU	9.3057
I	2008	Diesel	Argentina	ARG	0.11
I	2008	Diesel	Brasil	BRA	16.066
