url,source,summary,title
https://www.losandes.com.ar/sociedad/formosa-habilito-nuevas-actividades-en-medio-un-pico-de-casos-de-coronavirus/,Los Andes,Formosa habilitó nuevas actividades en medio un pico de casos de coronavirus,Formosa habilitó nuevas actividades en medio un pico de casos de coronavirus
https://www.losandes.com.ar/estilo/murio-a-los-50-anos-el-reconocido-escritor-carlos-busqued/,Los Andes,Murió a los 50 años el reconocido escritor Carlos Busqued,Murió a los 50 años el reconocido escritor Carlos Busqued
https://www.losandes.com.ar/da-la-nota/luego-de-sobrevivir-a-dos-conductores-luciana-rubinska-renuncio-a-sobredosis-de-tv/,Los Andes,"Luego de “sobrevivir” a dos conductores, Luciana Rubinska renunció a Sobredosis de TV","Luego de “sobrevivir” a dos conductores, Luciana Rubinska renunció a Sobredosis de TV"
https://www.losandes.com.ar/por-las-redes/de-terror-el-antes-y-despues-del-rostro-de-una-boxeadora-tras-una-pelea/,Los Andes,De terror: el antes y después del rostro de una boxeadora tras una pelea,De terror: el antes y después del rostro de una boxeadora tras una pelea
https://www.losandes.com.ar/mundo/sufria-de-dolores-en-el-pecho-se-hizo-una-radiografia-y-descubrio-que-tenia-un-cuchillo-clavado/,Los Andes,"Sufría de dolores en el pecho, se hizo una radiografía y descubrió que tenía un cuchillo clavado","Sufría de dolores en el pecho, se hizo una radiografía y descubrió que tenía un cuchillo clavado"
https://www.losandes.com.ar/mas-deportes/copa-de-la-liga-profesional-san-lorenzo-se-recupero-ante-estudiantes/,Los Andes,Copa de la Liga Profesional: San Lorenzo se recuperó ante Estudiantes,Copa de la Liga Profesional: San Lorenzo se recuperó ante Estudiantes
https://www.losandes.com.ar/da-la-nota/se-fue-al-pasto-rocio-marengo-comparo-su-baile-del-koala-con-el-atentado-a-la-amia/,Los Andes,¡Se fue al pasto! Rocío Marengo comparó su “baile del Koala” con el atentado a la AMIA,¡Se fue al pasto! Rocío Marengo comparó su “baile del Koala” con el atentado a la AMIA
https://www.perfil.com/noticias/ciencia/luis-camera-variante-manaos-contagia-hasta-un-200-por-ciento-mas-y-es-complicada-en-jovenes.phtml,Perfil,"Luis Cámera: ""La variante de Manaos contagia hasta un 200% más y es complicada en jóvenes""","Luis Cámera: ""La variante de Manaos contagia hasta un 200% más y es complicada en jóvenes"""
https://www.infobae.com/america/agencias/2021/03/30/coronavirus-argentina-confirma-un-incremento-de-casos-de-coronavirus-con-mas-de-14000-en-el-ultimo-dia/,Infobae,Coronavirus.- Argentina confirma un incremento de casos de coronavirus con más de 14.000 en el último día,Coronavirus.- Argentina confirma un incremento de casos de coronavirus con más de 14.000 en el último día
https://www.infobae.com/america/agencias/2021/03/30/limon-fc-recibira-a-cartagines-por-la-fecha-15/,Infobae,Limón FC recibirá a Cartaginés por la Fecha 15,Limón FC recibirá a Cartaginés por la Fecha 15
https://www.infobae.com/america/agencias/2021/03/30/trump-dice-que-fauci-reinventa-los-hechos-para-encubrir-sus-errores/,Infobae,"Trump dice que Fauci reinventa los hechos para ""encubrir"" sus errores","Trump dice que Fauci reinventa los hechos para ""encubrir"" sus errores"
https://www.infobae.com/america/agencias/2021/03/30/oxfam-intermon-una-de-cada-tres-trabajadoras-del-hogar-en-espana-es-pobre/,Infobae,Oxfam Intermón: una de cada tres trabajadoras del hogar en España es pobre,Oxfam Intermón: una de cada tres trabajadoras del hogar en España es pobre
https://www.infobae.com/america/agencias/2021/03/30/panama-exigira-prueba-de-covid-y-cuarentena-a-viajeros-de-suramerica/,Infobae,Panamá exigirá prueba de covid y cuarentena a viajeros de Suramérica,Panamá exigirá prueba de covid y cuarentena a viajeros de Suramérica
https://www.infobae.com/america/agencias/2021/03/30/mlb-relajara-protocolos-cuando-se-vacune-a-85-de-peloteros/,Infobae,MLB relajará protocolos cuando se vacune a 85% de peloteros,MLB relajará protocolos cuando se vacune a 85% de peloteros
https://www.infobae.com/america/agencias/2021/03/30/la-marina-mercante-licita-el-contrato-de-linea-interes-en-el-estrecho-de-gibraltar/,Infobae,La Marina Mercante licita el contrato de línea interés en el Estrecho de Gibraltar,La Marina Mercante licita el contrato de línea interés en el Estrecho de Gibraltar
https://www.infobae.com/america/colombia/2021/03/30/idartes-asegura-que-evento-en-el-que-se-registraron-aglomeraciones-fue-suspendido/,Infobae,IDARTES asegura que evento en el que se registraron aglomeraciones fue suspendido,IDARTES asegura que evento en el que se registraron aglomeraciones fue suspendido
https://www.infobae.com/america/agencias/2021/03/30/la-letona-sevastova-alcanza-los-cuartos-y-se-medira-con-svitolina/,Infobae,La letona Sevastova alcanza los cuartos y se medirá con Svitolina,La letona Sevastova alcanza los cuartos y se medirá con Svitolina
https://www.infobae.com/america/colombia/2021/03/30/desde-la-oficina-de-alvaro-uribe-velez-fue-agendada-la-visita-del-nene-hernandez-al-congreso/,Infobae,Desde la oficina de Álvaro Uribe Vélez fue agendada la visita del “Ñeñe” Hernández al Congreso,Desde la oficina de Álvaro Uribe Vélez fue agendada la visita del “Ñeñe” Hernández al Congreso
https://www.infobae.com/america/agencias/2021/03/30/un-ataud-brillante-para-los-olvidados-de-la-violencia-policial-en-eeuu/,Infobae,Un ataúd brillante para los olvidados de la violencia policial en EE.UU.,Un ataúd brillante para los olvidados de la violencia policial en EE.UU.
https://www.infobae.com/america/agencias/2021/03/30/javier-reina-del-medellin-da-positivo-a-covid-19/,Infobae,Javier Reina del Medellín da positivo a COVID-19,Javier Reina del Medellín da positivo a COVID-19
https://www.infobae.com/america/agencias/2021/03/30/colombia-duque-firma-la-extradicion-a-eeuu-por-narcotrafico-de-un-presunto-miembro-del-eln/,Infobae,Colombia.- Duque firma la extradición a EEUU por narcotráfico de un presunto miembro del ELN,Colombia.- Duque firma la extradición a EEUU por narcotráfico de un presunto miembro del ELN
https://www.eldestapeweb.com/politica/coronavirus-en-argentina/barrera-cruzo-a-montenegro-por-no-aplicar-el-teletrabajo-se-comporta-como-patron-de-estancia--202132922110,Destape Web,"Barrera cruzó a Montenegro por no aplicar el teletrabajo: ""Se comporta como patrón de estancia""","Barrera cruzó a Montenegro por no aplicar el teletrabajo: ""Se comporta como patrón de estancia"""
https://www.eldestapeweb.com/sociedad/coronavirus-en-argentina/nuevas-medidas-del-gobierno-por-la-segunda-ola-de-coronavirus-se-podra-viajar-en-semana-santa--202132921360,Destape Web,Nuevas medidas del Gobierno por la segunda ola de coronavirus: ¿Se podrá viajar en Semana Santa?,Nuevas medidas del Gobierno por la segunda ola de coronavirus: ¿Se podrá viajar en Semana Santa?
https://www.pagina12.com.ar/332533-copa-de-la-liga-san-lorenzo-se-saco-la-mufa-y-batio-a-estudi,Pagina12,Copa de la Liga: San Lorenzo se sacó la mufa y batió a Estudiantes,Copa de la Liga: San Lorenzo se sacó la mufa y batió a Estudiantes
https://www.pagina12.com.ar/332543-tras-la-muerte-de-un-docente-por-covid-la-discusion-entre-lo,Pagina12,"Tras la muerte de un docente por covid, la discusión entre los maestros y el gobierno porteño","Tras la muerte de un docente por covid, la discusión entre los maestros y el gobierno porteño"
https://www.cronica.com.ar/politica/Valenzuela-es-el-intendente-con-mejor-imagen-segun-una-encuesta-cercana-al-kirchnerismo-20210329-0125.html,Cronica,Valenzuela es el intendente con mejor imagen según una encuesta cercana al kirchnerismo,Valenzuela es el intendente con mejor imagen según una encuesta cercana al kirchnerismo
