date	screen_name	text	fav	retweet	url
Thu Oct 14 05:05:07 +0000 2021	leliz62	RT @SantoroLeandro: ¿Alguno recuerda alguna política pública durante la pandemia del jefe de gobierno? La respuesta es no. Mientras el gobi…	0	670	https://twitter.com/leliz62/status/1448515187888189440
Thu Oct 14 05:05:07 +0000 2021	LDicheco	"RT @laderechadiario: 🇦🇷 | Milei cerró el #DebateCapital: ""Quiero dejarles un mensaje de esperanza, existe un mundo mejor, pero solamente si…"	0	950	https://twitter.com/LDicheco/status/1448515187523289088
Thu Oct 14 05:05:06 +0000 2021	eduallende27	RT @mariuvidal: Quiero hacer una primera propuesta: que todos los candidatos le pidamos la renuncia a Aníbal Fernández. Cruzó un límite y n…	0	1438	https://twitter.com/eduallende27/status/1448515184868446208
Thu Oct 14 05:05:06 +0000 2021	ISVLopez	RT @MechiDemen: Milei sigue atacando a la izquierda, incentivando un discurso de odio, el mismo que lleva defensores de genocidas y de la d…	0	9	https://twitter.com/ISVLopez/status/1448515183563853829
Thu Oct 14 05:05:06 +0000 2021	psi_sonia	"RT @PalaveccinoLu: ""Yo no puedo discutir con un varón que grita"" dice Miryam Bregman... Las feministas quieren igualdad pero que las traten…"	0	218	https://twitter.com/psi_sonia/status/1448515182901317636
Thu Oct 14 05:05:04 +0000 2021	CIaudiaOviedoOK	RT @Solanopo: Un chanta Milei, dice que Argentina podría haberse ahorrado 90.000 muertes cuando defiende Bolsonaro que causó más de 600.000…	0	65	https://twitter.com/CIaudiaOviedoOK/status/1448515173963210754
Thu Oct 14 05:05:02 +0000 2021	xangocoqueiro	RT @SantoroLeandro: Desde que el macrismo gobierna la Ciudad, todos los años faltan 20 mil vacantes. Y aunque parezca increíble, su insensi…	0	984	https://twitter.com/xangocoqueiro/status/1448515166102982660
Thu Oct 14 05:05:02 +0000 2021	luiselbicho	"RT @SergioChouza: jajajaja pero si Larreta acaba de poner DOS impuestos nuevos hace literalmente DIEZ meses, qué decís 🤌

#DebateCapital ht…"	0	562	https://twitter.com/luiselbicho/status/1448515165213761538
Thu Oct 14 05:05:01 +0000 2021	ArgieOf	"RT @laderechadiario: 🇦🇷 | Milei en #DebateCapital: ""La Ciudad de Buenos Aires fue cómplice junto al gobierno nacional en la cuarentena cave…"	0	171	https://twitter.com/ArgieOf/status/1448515162693148678
Thu Oct 14 05:05:01 +0000 2021	conejopink02	RT @atlanticsurff: Mi ciela Myriam Bregman dice en el #DebateCapital que siempre está al lado de la víctimas, la misma Myriam Bregman que v…	0	2646	https://twitter.com/conejopink02/status/1448515162269372420
Thu Oct 14 05:04:56 +0000 2021	LowdenGus	RT @flor_laporte: Milei de pena. Bregman tiene que madurar. Santoro tiene que dejar de meter la gamba y Mariu, que siga así, cerrando bocas…	0	8	https://twitter.com/LowdenGus/status/1448515142388441091
Thu Oct 14 05:04:55 +0000 2021	ricpato	RT @MechiCOk: Después del #DebateCapital reafirmo mi apoyo a JxC, pueden no gustarme todos los candidatos pero la superioridad intelectual…	0	54	https://twitter.com/ricpato/status/1448515138303234051
Thu Oct 14 05:04:54 +0000 2021	marydelkarmen	"RT @luisbremer: "" @horaciorlarreta no compro respiradores sino barbijos con sobreprecio a 3000 pesos por unidad"" @SantoroLeandro en #Debate…"	0	37	https://twitter.com/marydelkarmen/status/1448515132275916802
Thu Oct 14 05:04:52 +0000 2021	MindiQ74	"RT @DanteForesi: Vidal reclama por la coparticipación que ella dice que le robaron a CABA, y que cuando era ""orgullosamente bonaerense"" dec…"	0	258	https://twitter.com/MindiQ74/status/1448515124499677187
Thu Oct 14 05:04:52 +0000 2021	OjedaJuanManuel	"RT @PaKCar1975: #DebateCapital
Bregman cada vez que la atiende #Milei https://t.co/28A6tJebMp"	0	3	https://twitter.com/OjedaJuanManuel/status/1448515123950227460
Thu Oct 14 05:04:51 +0000 2021	AgustinnnLepros	"RT @todonoticias: MINUTO DE CIERRE DE MARÍA EUGENIA VIDAL | ""No nos rindamos"" https://t.co/2JLP7R4gg0 #debatecapital en A DOS VOCES https:/…"	0	105	https://twitter.com/AgustinnnLepros/status/1448515122411016200
