year	combustible	region	m3
2007	P_COMBUSTIBLE_5	CL-LI	23540
2007	P_COMBUSTIBLE_5	CL-ML	3889
2007	P_COMBUSTIBLE_5	CL-BI	10013
2007	P_COMBUSTIBLE_5	CL-LL	13772
2007	P_COMBUSTIBLE_5	CL-AI	61
2007	P_COMBUSTIBLE_5	CL-MA	191
2007	P_COMBUSTIBLE_5	CL-LR	0
2007	P_COMBUSTIBLE_5	CL-AP	0
2007	P_COMBUSTIBLE_6	CL-TA	137467
2007	P_COMBUSTIBLE_6	CL-AN	209947
2007	P_COMBUSTIBLE_6	CL-AT	36902
2007	P_COMBUSTIBLE_6	CL-CO	37480
2007	P_COMBUSTIBLE_6	CL-AR	26463
2007	P_COMBUSTIBLE_6	CL-RM	36580
2007	P_COMBUSTIBLE_6	CL-VS	47874
2007	P_COMBUSTIBLE_6	CL-LI	72656
2007	P_COMBUSTIBLE_6	CL-ML	67340
2007	P_COMBUSTIBLE_6	CL-BI	346576
2007	P_COMBUSTIBLE_6	CL-LL	43256
2007	P_COMBUSTIBLE_6	CL-AI	1331
2007	P_COMBUSTIBLE_6	CL-MA	279
2007	P_COMBUSTIBLE_6	CL-LR	0
2007	P_COMBUSTIBLE_6	CL-AP	0
2007	P_DIESEL	CL-TA	0
2007	P_DIESEL	CL-AN	476
2007	P_DIESEL	CL-AT	11103
2007	P_DIESEL	CL-CO	150
2007	P_DIESEL	CL-AR	0
2007	P_DIESEL	CL-RM	0
2007	P_DIESEL	CL-VS	0
2007	P_DIESEL	CL-LI	0
2007	P_DIESEL	CL-ML	0
2007	P_DIESEL	CL-BI	0
2007	P_DIESEL	CL-LL	0
2007	P_DIESEL	CL-AI	0
2007	P_DIESEL	CL-MA	10035
2007	P_DIESEL	CL-LR	0
2007	P_DIESEL	CL-AP	0
2007	P_DIESEL_A1	CL-TA	130
2007	P_DIESEL_A1	CL-AN	328
2007	P_DIESEL_A1	CL-AT	57
2007	P_DIESEL_A1	CL-CO	258
2007	P_DIESEL_A1	CL-AR	172
2007	P_DIESEL_A1	CL-RM	1853036
2007	P_DIESEL_A1	CL-VS	441841
2007	P_DIESEL_A1	CL-LI	119599
2007	P_DIESEL_A1	CL-ML	1804
2007	P_DIESEL_A1	CL-BI	1838
2007	P_DIESEL_A1	CL-LL	1003
2007	P_DIESEL_A1	CL-AI	0
2007	P_DIESEL_A1	CL-MA	244
2007	P_DIESEL_A1	CL-LR	0
2007	P_DIESEL_A1	CL-AP	0
2007	P_DIESEL_A2	CL-TA	0
2007	P_DIESEL_A2	CL-AN	0
2007	P_DIESEL_A2	CL-AT	0
2007	P_DIESEL_A2	CL-CO	0
2007	P_DIESEL_A2	CL-AR	0
2007	P_DIESEL_A2	CL-RM	0
2007	P_DIESEL_A2	CL-VS	0
2007	P_DIESEL_A2	CL-LI	0
2007	P_DIESEL_A2	CL-ML	0
2007	P_DIESEL_A2	CL-BI	0
2007	P_DIESEL_A2	CL-LL	0
2007	P_DIESEL_A2	CL-AI	0
2007	P_DIESEL_A2	CL-MA	0
2007	P_DIESEL_A2	CL-LR	0
2007	P_DIESEL_A2	CL-AP	0
2007	P_DIESEL_B	CL-TA	516687
2007	P_DIESEL_B	CL-AN	1158549
2007	P_DIESEL_B	CL-AT	358431
2007	P_DIESEL_B	CL-CO	307080
2007	P_DIESEL_B	CL-AR	265645
2007	P_DIESEL_B	CL-RM	9205
2007	P_DIESEL_B	CL-VS	831926
2007	P_DIESEL_B	CL-LI	292085
2007	P_DIESEL_B	CL-ML	295063
2007	P_DIESEL_B	CL-BI	915638
2007	P_DIESEL_B	CL-LL	578292
2007	P_DIESEL_B	CL-AI	83590
2007	P_DIESEL_B	CL-MA	88215
2007	P_DIESEL_B	CL-LR	0
2007	P_DIESEL_B	CL-AP	0
2007	P_DIESEL_INVERNAL	CL-TA	878
2007	P_DIESEL_INVERNAL	CL-AN	5400
2007	P_DIESEL_INVERNAL	CL-AT	13230
2007	P_DIESEL_INVERNAL	CL-CO	568
2007	P_DIESEL_INVERNAL	CL-AR	28
2007	P_DIESEL_INVERNAL	CL-RM	0
